Variable,ADF Statistic,P-value
MINm,-2.247726163,0.463051192
MANm,-2.83266768,0.185204828
TandWm,-0.633642272,0.977162095
INFm,-3.672657993,0.02422212
FandIm,-3.765292324,0.018401877
Rem,0.790555385,1
HSm,2.76547929,1
PIEPCm,-2.277491463,0.4464377
TRADEm,-3.569059193,0.032561834
PSTEm,0.684937474,0.997028895
MEHIm,-1.91355447,0.647616498
unemployrate,-2.909792632,0.159069877
AGRm,-2.057669032,0.569703926
MINm,-2.268340785,0.451534281
MANm,-0.877748882,0.958476278
TandWm,-1.637626207,0.777353946
INFm,2.756951054,1
FandIm,-2.284994501,0.442266936
Rem,-1.812267107,0.698813385
HSm,2.630196199,1
PIEPCm,0.863614588,1
TRADEm,-3.260707339,0.072969421
PSTEm,2.995997551,1
MEHIm,-1.341911029,0.877168552
unemployrate,-1.938933705,0.634263297
AGRm,-3.098104402,0.106681697
MINm,-1.742588206,0.731761673
MANm,-1.070570543,0.933837776
TandWm,-2.233547008,0.470996732
INFm,-0.542761466,0.981659203
FandIm,-1.837117693,0.686591386
Rem,-2.92869916,0.153117651
HSm,-1.71467848,0.744376737
PIEPCm,-1.792797003,0.708221123
TRADEm,-2.716986223,0.229097615
PSTEm,-2.748897781,0.216345608
MEHIm,-3.393146387,0.052310371
unemployrate,-2.526180805,0.314998816
AGRm,-2.484245904,0.335883013
MINm,-2.484506736,0.335751162
MANm,-1.992226387,0.605661986
TandWm,-2.429852842,0.363872346
INFm,-3.789199804,0.017115388
FandIm,-2.717515741,0.228882062
Rem,-2.264691232,0.453569797
HSm,-1.634498749,0.778633309
PIEPCm,-1.772431969,0.717897025
TRADEm,-3.619311157,0.02825156
PSTEm,-3.771175245,0.018077668
MEHIm,-2.452001731,0.352359931
unemployrate,-1.439139924,0.849054019
AGRm,-3.960407107,0.010001644
MINm,-3.605902298,0.029350779
MANm,-2.828553211,0.186654919
TandWm,-0.89885697,0.956277867
INFm,-3.253207366,0.074311236
FandIm,-2.332340493,0.416150755
Rem,1.618393654,1
HSm,1.488853766,1
PIEPCm,0.207746938,0.995821093
TRADEm,-2.757053442,0.213164769
PSTEm,1.179770979,1
MEHIm,-3.29309202,0.067395921
unemployrate,-1.3472098,0.875751059
AGRm,-2.287408211,0.440926862
MINm,-2.263622569,0.45416613
MANm,-4.089107002,0.006542652
TandWm,-2.722112697,0.227016343
INFm,-7.078092203,9.40E-09
FandIm,-3.533472997,0.035943226
Rem,-4.060928266,0.007190381
HSm,-1.823518508,0.693308935
PIEPCm,-0.516658436,0.98276607
TRADEm,-1.991081023,0.60628386
PSTEm,3.790070944,1
MEHIm,-3.632908871,0.027173211
unemployrate,-1.837914126,0.686195824
AGRm,-1.369671465,0.869597553
MINm,-6.97319179,1.62E-08
MANm,-1.641858758,0.775615048
TandWm,-2.488985533,0.333490834
INFm,-2.118737806,0.535589168
FandIm,-1.28565407,0.891431202
Rem,0.498778645,0.996849666
HSm,-1.145528435,0.9210816
PIEPCm,0.8359827,1
TRADEm,-2.765631667,0.209853666
PSTEm,0.677951817,0.997027928
MEHIm,-2.471317301,0.342447777
unemployrate,-1.656181368,0.7696673
AGRm,-2.732845568,0.222699411
MINm,-2.599272834,0.280227481
MANm,-2.034238169,0.582666241
TandWm,0.468392452,0.996788969
INFm,2.195840511,1
FandIm,-1.508793744,0.826103043
Rem,1.362786317,1
HSm,0.836344344,1
PIEPCm,0.42206539,0.996677928
TRADEm,-2.961342477,0.1432114
PSTEm,0.83806004,1
MEHIm,-1.305980002,0.886442139
unemployrate,-2.480537956,0.337759934
AGRm,-1.461827584,0.841839909
