geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Maine,2000,New England,0.0722315,925,0.0925,0.0251079,16,0.0016,0.0004343,5767,0.5767,0.1565375,2309,3956,1096,0.1096,0.0297495,923,0.0923,0.0250536,2463,0.2463,0.0668549,5585,0.5585,0.1515974,1990,519,4599,0.4599,0.1248337,2661.08,36841,72231.48,35091.4,24190,2.419,6265,0.6265,0.1700551,2509,0.2509,0.0681035,,,,,,,59880,5.988,3.333333,4.566331,,285874,254098,31776,0.1250541,Independent
Connecticut,2018,New England,0.0685821,379.2,0.03792,0.001381,150.8,0.01508,0.0005492,31432.7,3.14327,0.1144744,14279.2,15189.7,5481.4,0.54814,0.0199626,14919.8,1.49198,0.0543362,41093,4.1093,0.1496561,37215.4,3.72154,0.1355343,19036,6156.5,22032,2.2032,0.0802381,18831.458,274582.8,68582.08,260582.2,50888,5.0888,29468.9,2.94689,0.1073225,25192.5,2.51925,0.0917483,,,,,,,84160,8.416,3.883333,5.438673,,696507,634179,62328,0.0982814,Democrat
Rhode Island,2010,New England,0.051819,103,0.0103,0.00207779,24,0.0024,0.00048415,3999,0.3999,0.0806709,2505,2844,757,0.0757,0.0152708,1879,0.1879,0.0379046,3794,0.3794,0.0765354,7958,0.7958,0.1605348,2632,1417,5039,0.5039,0.1016505,2568.759,49571.8,51818.96,44973.9,34690,3.469,5349,0.5349,0.1079041,4049,0.4049,0.0816795,251804.8,9.4011,14,Democratic,3.02238,0.684,67370,6.737,11.625,4.695235,4.136784,608390,559569,48821,0.0872475,Republican
Maine,2011,New England,0.0708703,656,0.0656,0.01264781,18,0.0018,0.00034704,5247,0.5247,0.1011632,2605,4208,1181,0.1181,0.0227699,1093,0.1093,0.0210733,2792,0.2792,0.0538303,7698,0.7698,0.1484189,2498,663,5865,0.5865,0.1130783,3675.81,51866.7,70870.33,52539.8,36889,3.6889,6813,0.6813,0.131356,3161,0.3161,0.0609447,,,,,,,62890,6.289,7.725,4.714889,,606770,552210,54560,0.098803,Democrat
Rhode Island,2003,New England,0.0560342,137,0.0137,0.0034018,47,0.0047,0.00116704,4580,0.458,0.1137244,2508,3225,722,0.0722,0.0179277,1556,0.1556,0.0386365,3181,0.3181,0.0789863,6895,0.6895,0.1712074,2448,1197,4447,0.4447,0.1104219,2256.654,40272.8,56034.2,36700.2,27981,2.7981,5733,0.5733,0.1423541,3645,0.3645,0.0905077,159754.5,9.2035,2,Democratic,3.02993,0.6683,67980,6.798,5.575,4.605012,4.13133,388542,350650,37892,0.1080622,Republican
Vermont,2007,New England,0.1037991,335,0.0335,0.01356451,181,0.0181,0.00732889,2975,0.2975,0.1204609,1332,2057,520,0.052,0.0210554,792,0.0792,0.0320689,1326,0.1326,0.0536912,3421,0.3421,0.13852,1560,590,2471,0.2471,0.1000534,2563.506,24696.8,103799.1,24063,35819,3.5819,3389,0.3389,0.1372243,2150,0.215,0.0870558,,,,,,,64730,6.473,3.941667,4.392641,,443797,397808,45989,0.115606,Republican
Connecticut,2002,New England,0.051262,357,0.0357,0.00202601,241,0.0241,0.0013677,30087,3.0087,0.1707469,10902,12487,2934,0.2934,0.0166508,6558,0.6558,0.0372173,26855,2.6855,0.1524049,30065,3.0065,0.170622,15104,3362,15421,1.5421,0.0875158,9032.787,176208.2,51262.01,154452.8,31654,3.1654,23389,2.3389,0.132735,18466,1.8466,0.1047965,,,,,,,82860,8.286,4.4,5.246026,,352895,314672,38223,0.1214693,Republican
Connecticut,2009,New England,0.0514399,295,0.0295,0.00124792,115,0.0115,0.00048648,27688,2.7688,0.1171269,13032,11498,3757,0.3757,0.015893,9907,0.9907,0.041909,35911,3.5911,0.1519122,38195,3.8195,0.161574,14467,4157,18033,1.8033,0.0762839,12160.036,236393.2,51439.87,212233.8,40137,4.0137,24530,2.453,0.1037678,18624,1.8624,0.078784,,,,,,,85790,8.579,8.325,5.373635,,537991,484480,53511,0.1104504,Republican
Maine,2009,New England,0.0690111,692,0.0692,0.01368766,16,0.0016,0.00031648,5439,0.5439,0.1075826,2585,4290,1166,0.1166,0.0230633,1194,0.1194,0.0236171,2754,0.2754,0.0544737,7169,0.7169,0.1418017,2526,653,5981,0.5981,0.1183033,3488.96,50556.5,69011.11,49337,34300,3.43,6875,0.6875,0.1359865,3179,0.3179,0.0628801,,,,,,,62840,6.284,8.391666,4.703777,,537991,484480,53511,0.1104504,Democrat
Maine,2010,New England,0.06749,729,0.0729,0.01409766,18,0.0018,0.00034809,5539,0.5539,0.1071152,2633,4312,1208,0.1208,0.0233607,1223,0.1223,0.0236508,2742,0.2742,0.0530258,7499,0.7499,0.1450183,2475,658,5836,0.5836,0.1128587,3489.953,51710.7,67489.96,50487,35592,3.5592,6945,0.6945,0.1343049,3133,0.3133,0.0605871,,,,,,,62550,6.255,8.416667,4.713581,,608390,559569,48821,0.0872475,Democrat
