geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
North Dakota,2005,Plains,0.0574713,1451,0.1451,0.05942508,689,0.0689,0.0282177,2650,0.265,0.1085296,2274,1974,1187,0.1187,0.0486131,943,0.0943,0.0386202,1369,0.1369,0.0560668,2521,0.2521,0.1032465,767,107,2324,0.2324,0.0951784,1403.293,24417.3,57471.26,20501.4,28053,2.8053,4248,0.4248,0.173975,874,0.0874,0.0357943,105131.9,9.0217,1,Republican,2.81029,0.6683,60820,6.082,3.308333,4.387698,5.244752,428018,388870,39148,0.1006712,Republican
South Dakota,2000,Plains,0.0408645,1753,0.1753,0.07725632,205,0.0205,0.00903454,2960,0.296,0.1304499,1638,2146,714,0.0714,0.0314666,521,0.0521,0.0229609,1951,0.1951,0.0859824,2643,0.2643,0.1164794,691,222,2454,0.2454,0.10815,927.245,22690.7,40864.54,20201.2,20478,2.0478,3784,0.3784,0.1667644,913,0.0913,0.0402367,,,,,,,58610,5.861,2.533333,4.355848,,285874,254098,31776,0.1250541,Republican
South Dakota,2005,Plains,0.0362054,1898,0.1898,0.06190597,145,0.0145,0.00472938,3234,0.3234,0.1054815,2123,2635,995,0.0995,0.0324533,835,0.0835,0.0272347,5048,0.5048,0.1646477,2770,0.277,0.0903475,855,240,2876,0.2876,0.0938048,1110.035,30659.4,36205.37,26005.4,26610,2.661,4758,0.4758,0.1551889,1095,0.1095,0.035715,,,,,,,62200,6.22,3.55,4.486564,,428018,388870,39148,0.1006712,Republican
Iowa,2011,Plains,0.0497564,7764,0.7764,0.05273489,269,0.0269,0.00182711,26220,2.622,0.1780923,8241,8215,5111,0.5111,0.0347151,4381,0.4381,0.0297568,14174,1.4174,0.0962731,15663,1.5663,0.1063867,4265,1259,9848,0.9848,0.0668899,7325.492,147227,49756.45,125499.8,31734,3.1734,16456,1.6456,0.111773,5524,0.5524,0.0375203,,,9,Swing,3.48662,,63560,6.356,5.65,5.167987,5.370321,606770,552210,54560,0.098803,Democrat
Iowa,2002,Plains,0.0505804,4127,0.4127,0.04169693,453,0.0453,0.00457686,23319,2.3319,0.2356023,6523,7849,3654,0.3654,0.036918,2948,0.2948,0.029785,10243,1.0243,0.1034896,11733,1.1733,0.1185438,3584,1132,8555,0.8555,0.086435,5006.251,98976.1,50580.4,84518.2,22833,2.2833,14372,1.4372,0.1452068,4716,0.4716,0.0476479,,,3,Swing,3.46749,0.6495,63710,6.371,4,4.99553,5.367924,352895,314672,38223,0.1214693,Democrat
South Dakota,2016,Plains,0.0379772,3227.8,0.32278,0.06660531,130.8,0.01308,0.00269904,4600.7,0.46007,0.094935,3565.4,3431.8,1132.8,0.11328,0.0233752,1225.8,0.12258,0.0252943,7806.3,0.78063,0.1610822,4661.9,0.46619,0.0961978,1458.3,348,4579,0.4579,0.0944872,1840.434,48461.6,37977.16,41551.5,37560,3.756,6997.2,0.69972,0.1443865,1806.3,0.18063,0.0372728,,,,,,,68930,6.893,3.016667,4.685398,,660833,599787,61046,0.1017795,Republican
North Dakota,2009,Plains,0.075447,2873,0.2873,0.08977424,1717,0.1717,0.05365206,2620,0.262,0.0818686,2452,2094,1348,0.1348,0.0421217,1141,0.1141,0.0356535,1664,0.1664,0.0519959,3226,0.3226,0.1008046,960,114,2633,0.2633,0.0822748,2414.494,32002.5,75447.05,26722.1,33073,3.3073,4546,0.4546,0.1420514,1074,0.1074,0.0335599,120485.8,9.0809,13,Republican,2.8228,0.67,66240,6.624,3.916667,4.505184,5.245453,537991,484480,53511,0.1104504,Republican
Minnesota,2011,Plains,0.0667809,5032,0.5032,0.01773034,3079,0.3079,0.01084891,38590,3.859,0.1359725,18368,15023,8016,0.8016,0.0282445,11053,1.1053,0.0389454,20351,2.0351,0.0717071,33724,3.3724,0.1188271,16249,2707,24706,2.4706,0.087052,18952.919,283807.3,66780.95,241599.5,37339,3.7339,33391,3.3391,0.1176538,18956,1.8956,0.0667918,,,,,,,73180,7.318,6.525,5.453023,,606770,552210,54560,0.098803,Republican
Minnesota,2013,Plains,0.0713762,5784,0.5784,0.01889251,3028,0.3028,0.00989048,40209,4.0209,0.1313363,19641,16323,8047,0.8047,0.0262842,11268,1.1268,0.0368051,19963,1.9963,0.065206,34260,3.426,0.1119048,17122,2573,25630,2.563,0.0837163,21852.025,306153,71376.16,257507.8,39029,3.9029,35964,3.5964,0.1174707,19695,1.9695,0.0643306,,,,,,,78910,7.891,5.041667,5.485939,,546178,486781,59397,0.12202,Democrat
Kansas,2005,Plains,0.0542427,3081,0.3081,0.02964307,1434,0.1434,0.01379687,17722,1.7722,0.1705078,8123,8184,4630,0.463,0.0445464,5577,0.5577,0.0536577,5412,0.5412,0.0520702,10590,1.059,0.101889,5081,654,8516,0.8516,0.0819346,5637.807,103936.6,54242.75,88784,27885,2.7885,16307,1.6307,0.1568937,5735,0.5735,0.0551779,291053.2,9.464,3,Republican,3.43859,0.6586,60580,6.058,5.066667,5.016768,5.439552,428018,388870,39148,0.1006712,Democrat
